kernel_name,source,category,complexity,class,implemented,verified,notes
louvain,RAPIDS-cuGraph,graph,high,clustering,external,no,Louvain community detection
katz_centrality,RAPIDS-cuGraph,graph,medium,ranking,external,no,Katz centrality on GPU
betweenness,RAPIDS-cuGraph,graph,very_high,ranking,external,no,Betweenness centrality on GPU
jaccard_sim,RAPIDS-cuGraph,graph,medium,similarity,external,no,Jaccard similarity on GPU
triangle_count,RAPIDS-cuGraph,graph,high,counting,external,no,Triangle counting on GPU
k_truss,RAPIDS-cuGraph,graph,very_high,subgraph,external,no,K-truss subgraph extraction
sdf_sphere,graphics-compute,spatial,low,sdf,external,no,Signed distance field sphere
sdf_union,graphics-compute,spatial,medium,sdf,external,no,SDF boolean union (smooth min)
ray_march,graphics-compute,spatial,high,rendering,external,no,Ray marching through SDF
pbr_shade,graphics-compute,spatial,medium,rendering,external,no,Physically-based rendering shading
deferred_light,graphics-compute,spatial,medium,rendering,external,no,Deferred lighting pass
ssao,graphics-compute,spatial,medium,rendering,external,no,Screen-space ambient occlusion
bloom_filter,graphics-compute,spatial,low,post_process,external,no,Bloom post-processing filter
motion_blur,graphics-compute,spatial,medium,post_process,external,no,Motion blur accumulation
lz4_compress,compression,bitwise,high,compression,external,no,LZ4 GPU compression (nvCOMP)
snappy_compress,compression,bitwise,high,compression,external,no,Snappy GPU compression (nvCOMP)
zstd_decompress,compression,bitwise,very_high,compression,external,no,Zstandard GPU decompression
stft,audio,transform,medium,transform,external,no,Short-time Fourier transform
mel_filterbank,audio,spatial,medium,filtering,external,no,Mel-scale filterbank application
spectrogram,audio,transform,medium,transform,external,no,Spectrogram computation
griffin_lim,audio,transform,high,synthesis,external,no,Griffin-Lim phase reconstruction
vocoder_hifigan,audio,neural,very_high,synthesis,external,no,HiFi-GAN neural vocoder
ctc_decode_beam,audio,graph,high,decoding,external,no,CTC beam search decoding
icp,robotics,spatial,high,registration,external,no,Iterative closest point (point cloud)
voxel_grid,robotics,spatial,medium,downsampling,external,no,Voxel grid downsampling
ransac_plane,robotics,spatial,medium,fitting,external,no,RANSAC plane fitting
occupancy_grid,robotics,spatial,medium,mapping,external,no,3D occupancy grid update
lidar_project,robotics,spatial,medium,projection,external,no,LiDAR point cloud projection
ego_motion,robotics,BLAS-L3,high,estimation,external,no,Ego-motion estimation (visual odometry)
aes_encrypt,crypto,bitwise,medium,cipher,external,no,AES-256 GPU encryption
chacha20,crypto,bitwise,medium,cipher,external,no,ChaCha20 stream cipher
argon2,crypto,bitwise,very_high,hash,external,no,Argon2 memory-hard hash (password)
ed25519_verify,crypto,bitwise,high,signature,external,no,Ed25519 signature verification batch
batched_inv,BLAS-extended,BLAS-L3,high,linear_solve,external,no,Batched matrix inversion
cholesky,BLAS-extended,BLAS-L3,high,decomposition,external,no,Cholesky factorization
gesvd_batched,BLAS-extended,BLAS-L3,very_high,decomposition,external,no,Batched SVD
kronecker,BLAS-extended,BLAS-L3,medium,matmul,external,no,Kronecker product
hadamard,BLAS-extended,elementwise,low,arithmetic,external,no,Hadamard (element-wise) product
outer_product,BLAS-extended,BLAS-L2,medium,matmul,external,no,Outer product (rank-1 update)
qsim_gate,quantum,spatial,high,simulation,external,no,Quantum gate application (state vector)
qsim_measure,quantum,reduction,medium,simulation,external,no,Quantum measurement sampling
tensor_contract,quantum,BLAS-L3,very_high,contraction,external,no,Tensor network contraction
mcts_expand,RL,graph,high,search,external,no,Monte Carlo tree search expansion
env_step_batch,RL,spatial,medium,simulation,external,no,Batched environment step (Atari/MuJoCo)
gae_compute,RL,reduction,medium,advantage,external,no,Generalized advantage estimation
embed_lookup,recommender,gather,medium,embedding,external,no,Embedding table lookup (large sparse)
feature_interact,recommender,BLAS-L3,medium,interaction,external,no,Feature interaction (DLRM)
ctr_predict,recommender,BLAS-L3,medium,prediction,external,no,Click-through rate prediction
sparse_adam,optimizer,elementwise,medium,optimization,external,no,Sparse Adam optimizer update
lamb_update,optimizer,elementwise,medium,optimization,external,no,LAMB optimizer (large batch)
mixed_prec_scale,optimizer,elementwise,low,scaling,external,no,Mixed-precision loss scaling
grad_clip,optimizer,reduction,low,normalization,external,no,Gradient norm clipping
all_reduce_ring,distributed,memory,high,communication,external,no,Ring all-reduce (NCCL pattern)
all_gather,distributed,memory,medium,communication,external,no,All-gather collective
reduce_scatter,distributed,memory,medium,communication,external,no,Reduce-scatter collective
pipeline_bubble,distributed,memory,high,scheduling,external,no,Pipeline parallelism bubble fill
lbm_d2q9,CFD-LBM,physics,medium,simulation,external,no,Lattice Boltzmann D2Q9 stream+collide (2D fluid)
lbm_d3q19,CFD-LBM,physics,high,simulation,external,no,Lattice Boltzmann D3Q19 stream+collide (3D fluid)
lbm_bgk,CFD-LBM,physics,medium,simulation,external,no,BGK collision operator (single relaxation time)
lbm_mrt,CFD-LBM,physics,high,simulation,external,no,MRT collision operator (multiple relaxation times)
euler_1d_roe,CFD-FVM,physics,medium,simulation,external,no,1D Euler equations Roe flux (shock tube)
euler_2d_muscl,CFD-FVM,physics,high,simulation,external,no,2D Euler MUSCL reconstruction + Riemann solver
ns_explicit_2d,CFD-FDM,physics,high,simulation,external,no,2D Navier-Stokes explicit time-stepping
ns_fractional_step,CFD-FDM,physics,very_high,simulation,external,no,Fractional step method (pressure-velocity coupling)
poisson_jacobi,CFD-solver,physics,medium,linear_solve,external,no,Poisson equation via Jacobi iteration (pressure solve)
poisson_multigrid,CFD-solver,physics,very_high,linear_solve,external,no,Multigrid Poisson solver (V-cycle)
poisson_fft,CFD-solver,transform,high,linear_solve,external,no,Poisson via FFT (spectral method)
lid_driven_cavity,CFD-benchmark,physics,medium,simulation,external,no,Lid-driven cavity (Ghia et al. benchmark, Re=100-10000)
sod_shock_tube,CFD-benchmark,physics,low,simulation,external,no,Sod's shock tube (exact analytical solution available)
taylor_green_vortex,CFD-benchmark,physics,medium,simulation,external,no,Taylor-Green vortex decay (analytical solution for short time)
blasius_flat_plate,CFD-benchmark,physics,medium,simulation,external,no,Blasius boundary layer (analytical similarity solution)
backward_facing_step,CFD-benchmark,physics,high,simulation,external,no,Backward-facing step (Driver-Seegmiller experimental data)
channel_flow_dns,CFD-benchmark,physics,very_high,simulation,external,no,Turbulent channel flow DNS (Moser/Kim/Mansour Re_tau=180-590)
onera_m6_wing,CFD-benchmark,physics,very_high,simulation,external,no,ONERA M6 transonic wing (experimental pressure data)
cylinder_vortex,CFD-benchmark,physics,medium,simulation,external,no,Laminar flow over circular cylinder (Strouhal number validation)
dam_break_sph,CFD-SPH,physics,high,simulation,external,no,Dam break SPH (smoothed particle hydrodynamics)
sph_density,CFD-SPH,reduction,medium,interpolation,external,no,SPH density summation kernel
sph_pressure_force,CFD-SPH,spatial,high,simulation,external,no,SPH pressure force computation
